pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
169.713,-60.222,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
169.713,-79.01,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
169.713,-97.798,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
169.713,-116.586,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
169.713,-135.374,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
159.307,-60.222,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
159.307,-79.01,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
159.307,-97.798,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
159.307,-116.586,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
159.307,-135.374,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
148.901,-60.222,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
148.901,-79.01,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
148.901,-97.798,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
148.901,-116.586,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
148.901,-135.374,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
138.495,-60.222,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
138.495,-79.01,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
138.495,-97.798,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
138.495,-116.586,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
138.495,-135.374,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
128.089,-60.222,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
128.089,-79.01,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
128.089,-97.798,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
128.089,-116.586,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
128.089,-135.374,0.0,top,J1,,,SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,smt
